hour,value,Technology
78,30678.69633727294,curtailment
79,30424.20742986235,curtailment
80,29926.172331543414,curtailment
81,29556.21601340385,curtailment
82,28840.872836731345,curtailment
83,29684.715761881358,curtailment
84,30621.36517278941,curtailment
85,31580.279833534893,curtailment
86,32923.639341667295,curtailment
87,34238.325294125854,curtailment
88,35123.60483455831,curtailment
89,34928.64450163724,curtailment
90,35650.6617300178,curtailment
91,36391.57688939298,curtailment
92,36981.35703050116,curtailment
93,36811.70107610507,curtailment
94,36962.5926148567,curtailment
95,36660.12934705406,curtailment
96,36397.99426489267,curtailment
97,35671.119936696414,curtailment
98,35032.25278699306,curtailment
99,34576.842972644234,curtailment
100,33607.366718267906,curtailment
101,32297.622447735986,curtailment
102,29691.988047312538,curtailment
103,25873.57145005356,curtailment
104,22050.928289016145,curtailment
105,18452.13780062164,curtailment
106,14933.32554519063,curtailment
107,11764.085597073708,curtailment
108,9745.915084951725,curtailment
109,8759.365323736072,curtailment
110,8530.435050508575,curtailment
111,9067.374355295024,curtailment
112,9250.860892118453,curtailment
113,8424.420033412433,curtailment
114,7494.563872689375,curtailment
115,6343.5281487094,curtailment
116,5347.728149217064,curtailment
117,4712.9569668001795,curtailment
118,4753.637925720616,curtailment
119,4533.026357241417,curtailment
120,4346.225789162831,curtailment
121,3829.2507449604364,curtailment
122,3589.6554540854213,curtailment
123,3708.612166290355,curtailment
124,3607.173585847675,curtailment
125,3793.520560041614,curtailment
126,3528.1715508418038,curtailment
127,3088.5728400093376,curtailment
128,3254.516804758343,curtailment
129,3980.9662251351265,curtailment
130,4261.820202007957,curtailment
131,4560.934760032767,curtailment
132,5280.737729237628,curtailment
133,6278.432950772996,curtailment
134,7347.078878479971,curtailment
135,8153.629901658084,curtailment
136,7864.533722423939,curtailment
137,6210.603953536036,curtailment
138,5086.33527283317,curtailment
139,5532.171679703195,curtailment
140,6544.630098471114,curtailment
141,7690.493666520884,curtailment
142,8771.133327312622,curtailment
143,8983.833348664213,curtailment
144,9384.202288068693,curtailment
145,9891.27168793806,curtailment
146,9800.529030264317,curtailment
147,9986.954600716486,curtailment
148,9797.941666449615,curtailment
149,9584.07616786766,curtailment
150,9013.505990630529,curtailment
151,8629.198108214961,curtailment
152,8636.87258202535,curtailment
153,9107.067693963203,curtailment
154,9841.48225822799,curtailment
155,11729.186672659112,curtailment
156,14821.457150802094,curtailment
157,19163.88412683508,curtailment
158,24023.84386997197,curtailment
159,28319.76883065595,curtailment
160,31480.67888881283,curtailment
161,35472.7467011943,curtailment
162,39575.758133235206,curtailment
163,41794.85092327569,curtailment
164,43084.73412671433,curtailment
165,44081.77638757837,curtailment
166,45074.623840891574,curtailment
167,45011.25900083763,curtailment
168,44376.90312683923,curtailment
169,42283.22222998258,curtailment
170,39171.98251680639,curtailment
171,38842.30008042369,curtailment
172,40051.64538691071,curtailment
173,40053.62962758441,curtailment
174,37542.1519853739,curtailment
175,36341.25404369589,curtailment
176,37097.73567254915,curtailment
177,38446.49592770293,curtailment
178,39486.522338938434,curtailment
179,40405.89115957075,curtailment
180,41854.55376244533,curtailment
181,42559.49886227073,curtailment
182,42809.004253048595,curtailment
183,42971.26338096315,curtailment
184,43044.69977704267,curtailment
185,42597.94981834162,curtailment
186,42697.506670781426,curtailment
187,42773.03089311079,curtailment
188,42807.012248865125,curtailment
189,42874.82981272414,curtailment
190,43755.47917807648,curtailment
191,45102.09850256062,curtailment
192,46204.632246671325,curtailment
193,46702.97115697744,curtailment
194,47089.98847980685,curtailment
195,47443.230250188135,curtailment
196,47367.556223552565,curtailment
197,46553.75802932929,curtailment
198,44790.117917756615,curtailment
199,43155.90388450729,curtailment
200,41737.67653153345,curtailment
201,40418.55396836795,curtailment
202,39575.868812763874,curtailment
203,39112.13201129151,curtailment
204,38606.158646967466,curtailment
205,37909.319475550685,curtailment
