Onshore turbines,Offshore trubines fixed,Utility scale PV,"Biogas, Basic plant, large",CCS
14649.828559999996,44252.26935124364,0.0,0.0,0.0
15288.148719999996,45322.16450017605,0.0,0.0,0.0
15755.479119999996,45880.77020207756,0.0,0.0,0.0
16188.540879999995,46526.466393229166,0.0,0.0,0.0
16636.5712,47200.26653442135,0.0,0.0,0.0
16923.891599999995,47442.31577363046,0.0,0.0,0.0
17051.246559999996,47418.03245239128,0.0,0.0,0.0
17195.235759999996,47405.67743198149,0.0,0.0,0.0
17369.398959999995,47653.25417831368,0.0,0.0,0.0
17553.894639999995,47950.2311588627,0.0,0.0,0.0
17723.323999999993,48146.74048750107,0.0,0.0,0.0
17858.744159999995,48210.06368849296,0.0,0.0,0.0
17907.522639999992,48223.02405528427,0.0,0.0,0.0
17882.247919999998,48193.13383723263,0.0,0.0,0.0
17797.140319999995,48084.94553802974,0.0,0.0,0.0
17602.970159999997,47897.43701542485,0.0,0.0,0.0
17280.027519999996,47661.65956167681,0.0,0.0,0.0
16911.799439999995,47343.53515261913,0.0,0.0,0.0
16573.294159999998,46915.465947481025,0.0,0.0,0.0
16370.885839999999,46455.640866590846,0.0,0.0,0.0
16219.203679999997,46130.609554557086,0.0,0.0,0.0
16213.300479999996,46311.44934325404,0.0,0.0,0.0
16260.50352,46530.91221583446,0.0,0.0,0.0
16286.725759999998,46585.552169550385,0.0,0.0,0.0
16202.528079999996,46504.822779161885,0.0,0.0,0.0
15966.166959999997,45909.46957478851,0.0,0.0,0.0
15600.653599999994,45137.32545587658,0.0,0.0,0.0
15259.79832,44118.557266905016,0.0,0.0,0.0
14907.903679999996,42980.178587170994,0.0,0.0,0.0
14396.773039999996,41608.71177941668,0.0,0.0,0.0
13745.883199999998,39984.66667489921,0.0,0.0,0.0
12854.135279999997,37983.758714893884,0.0,0.0,0.0
11904.889439999997,35989.42025168478,0.0,0.0,0.0
11070.639439999999,34473.56344637019,0.0,0.0,0.0
10273.135919999999,33267.405819327825,0.0,0.0,0.0
9768.882319999999,32834.3946060258,0.0,0.0,0.0
9292.091759999998,32530.69927301298,0.0,0.0,0.0
8901.53304,32169.44641519951,0.0,0.0,0.0
8475.822079999998,31534.269357890775,0.0,0.0,0.0
7784.940879999999,30263.69692162754,0.0,0.0,0.0
6773.192559999998,28168.90073021894,0.0,0.0,0.0
5590.54472,25659.33310664343,0.0,0.0,0.0
4664.23864,23267.37138417353,0.0,0.0,0.0
4052.4339999999993,21207.21886846822,0.0,0.0,0.0
3693.5307199999993,19573.984407404998,0.0,0.0,0.0
3566.626959999999,18966.08763210955,0.0,0.0,0.0
3686.014479999999,19462.43197011463,0.0,0.0,0.0
3980.324719999999,20557.16616811188,0.0,0.0,0.0
4236.064879999999,21307.636901823014,0.0,0.0,0.0
4366.454159999999,21202.07838608085,0.0,0.0,0.0
4432.17144,20813.8330338781,0.0,0.0,0.0
4406.453039999999,20026.088841002955,0.0,0.0,0.0
4320.435519999999,19121.850202673526,0.0,0.0,0.0
4161.752239999999,18333.10371496995,0.0,0.0,0.0
3901.7143999999994,17369.997621965093,0.0,0.0,0.0
3598.4440799999993,16115.799309136519,0.0,0.0,0.0
3270.01936,14576.750790811746,0.0,0.0,0.0
2895.4406399999993,13343.362500311954,0.0,0.0,0.0
2520.3580799999995,12309.33164355705,0.0,0.0,0.0
2165.3651999999997,11476.424641135736,0.0,0.0,0.0
2037.4650399999996,11465.578024824164,0.0,0.0,0.0
2264.0839999999994,12680.716610477679,0.0,0.0,0.0
2493.872639999999,13125.596582342036,0.0,0.0,0.0
2461.5253599999996,12462.067482213402,0.0,0.0,0.0
2516.5191199999995,12222.231230595788,0.0,0.0,0.0
2864.127359999999,12883.72596993405,0.0,0.0,0.0
3281.863359999999,13743.556000766428,0.0,0.0,0.0
3749.05088,14704.637656692094,0.0,0.0,0.0
4195.073359999999,15359.632365212352,0.0,0.0,0.0
4734.595759999999,16266.590100403055,0.0,0.0,0.0
5277.851839999999,17829.48529667541,0.0,0.0,0.0
5770.889359999998,19628.138099273474,0.0,0.0,0.0
6291.653119999999,21470.385765052448,0.0,0.0,0.0
6986.572559999999,23740.265992677927,0.0,0.0,0.0
7760.884399999999,26076.317526401817,0.0,0.0,0.0
8045.467519999998,27746.755980650832,0.0,0.0,0.0
7884.483119999997,28471.802166337962,0.0,0.0,0.0
7976.215839999998,29167.841344267785,0.0,0.0,0.0
8186.031359999999,29628.480169474118,0.0,0.0,0.0
8177.672879999998,29611.30222543448,0.0,0.0,0.0
8037.436159999998,29293.197663799143,0.0,0.0,0.0
7668.963679999998,28748.098132803443,0.0,0.0,0.0
7845.646079999999,29138.923649911045,0.0,0.0,0.0
