hour,value,Technology
221,13172.279838076058,curtailment
222,12678.365968716362,curtailment
223,12411.412180317115,curtailment
224,12363.341917801878,curtailment
225,12706.348881970056,curtailment
226,12562.48185332405,curtailment
227,11503.974838008415,curtailment
228,9642.287283711586,curtailment
229,7586.470143497578,curtailment
230,6044.9466960092195,curtailment
231,4997.188220785434,curtailment
232,4508.540181853958,curtailment
233,4154.43620744647,curtailment
234,3918.8177994149846,curtailment
235,3894.5975303638133,curtailment
236,3941.4455831666655,curtailment
237,3753.095011787351,curtailment
238,3147.6336826169936,curtailment
239,2421.0420941659195,curtailment
240,2377.6621991102456,curtailment
241,2949.6401181316287,curtailment
242,3922.462497466993,curtailment
243,5836.8021228076195,curtailment
244,8227.087203330459,curtailment
245,10594.47704700912,curtailment
246,12650.492220340922,curtailment
247,15545.582231502662,curtailment
248,19960.43804574181,curtailment
249,26317.33889135538,curtailment
250,33596.0858724556,curtailment
251,42600.028509463475,curtailment
252,51490.74202705927,curtailment
253,59878.34830632611,curtailment
254,66544.03321981306,curtailment
255,71710.6003192238,curtailment
256,76879.69688536318,curtailment
257,81292.24092512252,curtailment
258,84126.05035701404,curtailment
259,85915.92528874223,curtailment
260,88575.50450199317,curtailment
261,90967.54089443185,curtailment
262,92333.1340138628,curtailment
263,94527.32737056585,curtailment
264,96658.48175576315,curtailment
265,99039.44963883082,curtailment
266,103534.04818567015,curtailment
267,105145.8740072751,curtailment
268,104155.88185245842,curtailment
269,99415.29112306861,curtailment
270,92027.42422584581,curtailment
271,84313.6757110107,curtailment
272,79156.37644232638,curtailment
273,75099.86875269141,curtailment
274,73075.09421378325,curtailment
275,74039.37981139476,curtailment
276,75182.46628835819,curtailment
277,76916.22470223474,curtailment
278,80163.67791285405,curtailment
279,83001.5129563492,curtailment
280,86176.48530822508,curtailment
281,89531.83308281786,curtailment
282,93751.02035345964,curtailment
283,97602.50963454891,curtailment
284,99950.82713912916,curtailment
285,101386.22341847725,curtailment
286,101760.94226391804,curtailment
287,102582.59573232997,curtailment
288,102515.5750650943,curtailment
289,99706.57883013948,curtailment
290,94804.10129312567,curtailment
291,91278.04225416633,curtailment
292,90490.19818783244,curtailment
293,89416.35972255975,curtailment
294,86379.1607023916,curtailment
295,82490.9833604709,curtailment
296,79764.33449619988,curtailment
297,78910.59622265772,curtailment
298,75831.78147668045,curtailment
299,74063.03060421615,curtailment
300,70842.2151365059,curtailment
301,65974.45234241421,curtailment
302,60966.16404641135,curtailment
303,54852.70783434118,curtailment
304,50957.45080393527,curtailment
305,47842.27962800926,curtailment
306,45206.68991559885,curtailment
307,44095.73418460289,curtailment
308,43804.47898027327,curtailment
309,46067.6666686882,curtailment
310,53192.625633312025,curtailment
311,61157.86605405583,curtailment
312,69666.06490269299,curtailment
313,77943.09520187834,curtailment
314,87360.88713974332,curtailment
315,94696.48107643538,curtailment
316,100584.71367051752,curtailment
317,105062.97913311771,curtailment
318,106240.68914117248,curtailment
319,107695.89630804243,curtailment
320,108441.51348544264,curtailment
321,108666.71676739817,curtailment
322,108673.5490511504,curtailment
323,108131.63115757784,curtailment
324,107344.39060738384,curtailment
325,106279.02587228487,curtailment
326,104263.60236173679,curtailment
327,100962.26437880233,curtailment
328,100309.96642700798,curtailment
329,103695.59706177196,curtailment
330,106345.95878547888,curtailment
331,105861.72418369257,curtailment
332,105547.0895803424,curtailment
333,106479.58225737736,curtailment
334,109319.32365456312,curtailment
335,112065.85834339431,curtailment
336,112369.3974528309,curtailment
337,112057.64439953786,curtailment
338,114885.38022015472,curtailment
339,115571.65573594216,curtailment
340,115014.3163830538,curtailment
341,113872.04686680764,curtailment
342,114332.10695203165,curtailment
343,114478.93641502247,curtailment
344,114295.37014338598,curtailment
345,114036.16736921489,curtailment
346,114247.50334843957,curtailment
347,115343.1490733053,curtailment
348,115692.88410191113,curtailment
349,115678.83128477495,curtailment
350,115212.23790661321,curtailment
351,115236.24035047136,curtailment
352,115445.94491961267,curtailment
353,114772.85282983143,curtailment
354,114810.77778276635,curtailment
355,115983.11918763693,curtailment
356,116739.75380772563,curtailment
357,118010.3773031106,curtailment
358,119534.2128220474,curtailment
359,120802.10120344783,curtailment
360,121737.32692668057,curtailment
361,122343.78477939025,curtailment
362,123652.89401898393,curtailment
363,124564.66665800105,curtailment
364,124842.24736659063,curtailment
365,124665.62123453568,curtailment
366,123409.92339250127,curtailment
367,121707.11689789296,curtailment
368,119577.71097012277,curtailment
369,116245.82938629902,curtailment
370,111479.52193322072,curtailment
371,104489.64733576789,curtailment
372,97577.89105174434,curtailment
373,91266.51326259381,curtailment
374,84348.74737481354,curtailment
375,78861.33231537964,curtailment
376,77461.62609567719,curtailment
377,75769.12895174306,curtailment
378,74744.90051797715,curtailment
379,75000.32601576371,curtailment
380,76902.93601831717,curtailment
381,80561.21199548338,curtailment
382,84761.48043739428,curtailment
383,86960.75750180008,curtailment
384,88380.77028111952,curtailment
385,88785.00611104493,curtailment
386,91838.71571408174,curtailment
387,92210.46509557398,curtailment
388,92612.64435969159,curtailment
389,93435.7531860653,curtailment
390,95819.26481537582,curtailment
391,98551.00393331006,curtailment
392,100774.33909269985,curtailment
393,101907.49780743035,curtailment
394,103115.13813501746,curtailment
395,104471.15855799297,curtailment
396,104550.4147833888,curtailment
397,104753.45157700381,curtailment
398,104213.23342834294,curtailment
399,103102.7442301955,curtailment
400,101152.99810515148,curtailment
401,99717.60347938622,curtailment
402,99723.10585044765,curtailment
403,99436.04817576398,curtailment
404,97598.89119444994,curtailment
405,94730.8470022149,curtailment
406,92269.41970682924,curtailment
407,90416.99626212733,curtailment
408,88866.67987765903,curtailment
409,87532.37998246614,curtailment
410,87797.74712046921,curtailment
411,89460.15315626733,curtailment
412,90913.65786071098,curtailment
413,90290.29825351476,curtailment
414,90974.04537176085,curtailment
415,91022.51542380097,curtailment
416,91719.51108334909,curtailment
417,91710.9689565686,curtailment
418,90945.93773337777,curtailment
419,89043.15204029229,curtailment
420,86647.82948261293,curtailment
421,82854.19510849321,curtailment
422,79072.2576658839,curtailment
423,74353.67370336843,curtailment
424,70708.05281474482,curtailment
425,68103.00304626154,curtailment
426,66347.22898553865,curtailment
427,65151.047682410644,curtailment
428,63160.49560362554,curtailment
429,60007.07446172507,curtailment
430,56276.80507929147,curtailment
431,53093.29571489464,curtailment
432,49547.71082300366,curtailment
433,48002.19106472996,curtailment
434,49106.93694872309,curtailment
435,51067.81097120527,curtailment
436,54169.141022507,curtailment
437,57035.54775324029,curtailment
438,56750.311585954674,curtailment
439,56603.86487942275,curtailment
440,57007.73531897116,curtailment
441,58863.209321340495,curtailment
442,61160.86032851082,curtailment
443,64527.3354522789,curtailment
444,68800.34797496864,curtailment
445,71837.21127180321,curtailment
446,74784.00210427951,curtailment
447,79516.38821876,curtailment
448,84771.67031525717,curtailment
449,89565.33091973311,curtailment
450,92850.96009509011,curtailment
451,93229.40145377685,curtailment
452,92120.14300969825,curtailment
453,90010.04483577509,curtailment
454,87729.71577431631,curtailment
455,88925.03244184746,curtailment
456,88607.97760705679,curtailment
457,90634.12708518487,curtailment
458,92608.06080150336,curtailment
459,91818.48241445691,curtailment
460,88825.09382426766,curtailment
461,83425.08706856731,curtailment
462,76484.81426473403,curtailment
463,69184.78269104152,curtailment
464,63009.4775311417,curtailment
465,59839.8645876708,curtailment
466,59107.45165208937,curtailment
467,57728.419336403764,curtailment
468,56036.8932537862,curtailment
469,56565.46953038789,curtailment
470,55864.2628784011,curtailment
471,55943.59940653236,curtailment
472,60155.38408341064,curtailment
473,66291.22392763525,curtailment
474,72566.04912574188,curtailment
475,78110.9093227318,curtailment
476,81953.84675098221,curtailment
477,84004.29046605178,curtailment
478,85524.57131215044,curtailment
479,86835.39426269285,curtailment
480,87101.08506720368,curtailment
481,85894.19383134459,curtailment
482,84156.40411546305,curtailment
483,83008.63845048814,curtailment
484,80748.96911147771,curtailment
485,76924.25055419239,curtailment
486,72398.29835028361,curtailment
487,65414.38013064721,curtailment
488,61640.46798103432,curtailment
489,57479.11106964161,curtailment
490,54605.37079704599,curtailment
491,51976.03355030512,curtailment
492,50360.53781341135,curtailment
493,47505.81770025745,curtailment
494,44018.21518352421,curtailment
495,41405.13900197056,curtailment
496,40124.78976762438,curtailment
497,38937.86117602403,curtailment
498,38167.12306306044,curtailment
499,37854.62338139455,curtailment
500,36738.209313515,curtailment
501,33973.26893397119,curtailment
502,30980.241726399297,curtailment
503,29958.077260277336,curtailment
504,29447.1641022295,curtailment
505,28269.37085602001,curtailment
506,27923.692667148636,curtailment
507,28740.823175855447,curtailment
508,29908.054376189357,curtailment
509,30745.037443438894,curtailment
510,29824.463830723747,curtailment
511,28019.1956771809,curtailment
512,26169.013355928124,curtailment
513,23991.342293252343,curtailment
514,22485.545765341056,curtailment
515,21453.537061372594,curtailment
516,20987.62815405228,curtailment
517,21534.38575140108,curtailment
518,22283.23259253191,curtailment
519,24296.973386037243,curtailment
520,26652.05501565981,curtailment
521,26855.060443890485,curtailment
522,25553.09411493624,curtailment
523,21724.24607034104,curtailment
524,17732.070540687673,curtailment
525,14270.352261551863,curtailment
526,11109.77387278018,curtailment
527,8682.958652293906,curtailment
528,7570.934286454021,curtailment
529,7087.48737751915,curtailment
530,6522.030508437324,curtailment
531,5202.051485583698,curtailment
532,3754.767762564021,curtailment
533,3612.312741680691,curtailment
534,5599.722700745291,curtailment
535,9988.047961829738,curtailment
536,15520.309521103998,curtailment
537,22031.769480727686,curtailment
538,27478.65766547541,curtailment
539,31549.208941508285,curtailment
540,34441.49652307095,curtailment
541,36222.47152556399,curtailment
542,39820.647728723736,curtailment
543,44439.99037172571,curtailment
544,48973.88301800704,curtailment
545,50898.717352079584,curtailment
546,49281.86681246017,curtailment
547,46166.80800512417,curtailment
548,42592.72451709063,curtailment
549,39641.81332834445,curtailment
550,37196.067497689364,curtailment
551,33807.42205983599,curtailment
552,31318.768604482102,curtailment
553,29096.640202146005,curtailment
554,26029.36994554104,curtailment
555,22919.52795363743,curtailment
556,20124.68819439311,curtailment
557,18036.612966947163,curtailment
558,16583.589776125074,curtailment
559,16712.679610282845,curtailment
560,18340.25336136446,curtailment
561,21564.2589730315,curtailment
562,25224.63285141617,curtailment
563,29859.476643616454,curtailment
564,35340.46205246793,curtailment
565,40188.705497819145,curtailment
566,44640.6701110562,curtailment
567,48031.31040528304,curtailment
568,51622.57240507299,curtailment
569,55050.02799233564,curtailment
570,57827.893474408425,curtailment
571,60161.975728314326,curtailment
572,62182.70418862703,curtailment
573,66300.88438578238,curtailment
574,68757.33742799572,curtailment
575,72128.9281990452,curtailment
576,74528.36603549149,curtailment
577,76115.7056722853,curtailment
578,75985.2353336256,curtailment
579,75490.86268647884,curtailment
580,76137.00257306089,curtailment
581,75652.26401925231,curtailment
582,76083.94625484456,curtailment
583,78293.63555844015,curtailment
584,81979.6828537336,curtailment
585,83832.25129673627,curtailment
586,87743.0257193268,curtailment
587,92464.8030698646,curtailment
588,93846.41361163765,curtailment
589,93652.1915222937,curtailment
590,94900.50441347575,curtailment
591,95419.93036231308,curtailment
592,92170.85209818487,curtailment
593,89797.26826253613,curtailment
594,88924.54928040752,curtailment
595,86533.01652339946,curtailment
596,85918.71382636476,curtailment
597,83854.4934890771,curtailment
598,82911.54958389916,curtailment
599,83922.76370534218,curtailment
600,86626.4371520486,curtailment
601,86937.85712331395,curtailment
602,86461.92681464454,curtailment
603,85598.34780025846,curtailment
604,87559.27025995782,curtailment
605,89937.7090741605,curtailment
606,89061.05984544964,curtailment
607,85544.87525361426,curtailment
608,83190.30843813656,curtailment
609,83649.88357671532,curtailment
610,81983.70374901258,curtailment
611,77643.29165901786,curtailment
612,74766.72651234054,curtailment
613,73016.66205454973,curtailment
614,69405.92661518263,curtailment
615,65064.608462668984,curtailment
616,61927.27478621392,curtailment
617,60694.63338756694,curtailment
618,57921.521944324806,curtailment
619,55503.45624914994,curtailment
620,55297.687788543146,curtailment
621,56371.13579735348,curtailment
622,58127.03819577802,curtailment
623,59943.215328266946,curtailment
624,64664.63068936063,curtailment
625,69893.8082637883,curtailment
626,72177.26692287959,curtailment
627,75978.76902783287,curtailment
628,78465.29959559641,curtailment
629,80433.58169265847,curtailment
630,84276.94006930268,curtailment
631,87647.8099440117,curtailment
632,87273.05596186726,curtailment
633,86665.77398437948,curtailment
634,87661.86398069095,curtailment
635,88377.65324392046,curtailment
636,89693.13305992697,curtailment
637,89451.19108602489,curtailment
638,87190.26714383542,curtailment
639,83749.40153046974,curtailment
640,79111.60206489467,curtailment
641,75182.85295119834,curtailment
642,74720.84874065203,curtailment
643,77501.37921643985,curtailment
644,80826.56972567119,curtailment
645,85403.00029922601,curtailment
646,92228.91248481633,curtailment
647,98731.89823802479,curtailment
648,105009.71978569195,curtailment
649,110559.89156087175,curtailment
650,115300.20175178007,curtailment
651,118318.19539789551,curtailment
652,119611.06776277155,curtailment
653,119124.95371639506,curtailment
654,118494.1079518349,curtailment
655,117214.2484338203,curtailment
656,114577.0942702327,curtailment
657,111607.8622817692,curtailment
658,108437.39311681187,curtailment
659,105811.45712880249,curtailment
660,103600.2139484892,curtailment
661,101530.67790740673,curtailment
662,98141.56276219942,curtailment
663,90687.75933622153,curtailment
664,81394.27055886127,curtailment
665,73154.20624111232,curtailment
666,66818.29592029472,curtailment
667,60688.91526194406,curtailment
668,55762.82965405497,curtailment
669,50986.66114479857,curtailment
670,44930.63367967375,curtailment
671,39022.89977363804,curtailment
672,36096.845417719844,curtailment
673,32837.51705360008,curtailment
674,31241.349570499016,curtailment
675,31493.103236213698,curtailment
676,33424.68463511739,curtailment
677,35833.421078207175,curtailment
678,36122.65741927627,curtailment
679,35486.31072112038,curtailment
680,33602.91795110497,curtailment
681,30497.790625163834,curtailment
682,29023.097706196473,curtailment
683,26403.78818256511,curtailment
684,24105.51182108427,curtailment
685,23508.539570474335,curtailment
686,24526.377144374164,curtailment
687,26582.061898953238,curtailment
688,29122.375639941536,curtailment
689,29215.740326081763,curtailment
690,27530.85934135363,curtailment
691,24773.531596403336,curtailment
692,21960.732933135652,curtailment
693,20027.737504434073,curtailment
694,17863.36606858709,curtailment
695,14700.424845909183,curtailment
696,13508.83323439781,curtailment
697,13871.466867476644,curtailment
698,16007.481043410171,curtailment
699,19003.708345580024,curtailment
700,22992.897547891967,curtailment
701,28229.58197448332,curtailment
702,34530.655315351345,curtailment
703,41276.96753896881,curtailment
704,46494.51249797471,curtailment
705,49777.43456001875,curtailment
706,51234.43708979267,curtailment
707,51142.87198787682,curtailment
708,49806.94134930086,curtailment
709,48440.20133752144,curtailment
710,48451.948660957634,curtailment
711,49685.49251528354,curtailment
712,50849.46963242791,curtailment
713,50627.60981089889,curtailment
714,49406.87744418991,curtailment
715,47326.451552110084,curtailment
716,45408.17511863076,curtailment
717,44268.32580904111,curtailment
718,43583.514074358834,curtailment
719,44066.2077152497,curtailment
720,46142.22539074843,curtailment
721,48718.809455648276,curtailment
722,51406.27685162089,curtailment
723,51829.719823828666,curtailment
724,50324.380016742536,curtailment
725,46933.867280407125,curtailment
726,41299.24562781997,curtailment
727,35072.14179100822,curtailment
728,28338.35300933419,curtailment
729,22588.220930260974,curtailment
730,16925.127235208696,curtailment
731,11777.351170311145,curtailment
732,7532.831062174313,curtailment
733,4536.406455865283,curtailment
734,2517.1323530114532,curtailment
735,1217.9934234037828,curtailment
736,868.3163501650743,curtailment
737,900.2674673723777,curtailment
738,1720.926106939689,curtailment
739,3366.8050020839983,curtailment
740,5977.208851793341,curtailment
741,10114.70557654171,curtailment
742,15567.103947427277,curtailment
743,22224.217879825446,curtailment
744,29472.676326579036,curtailment
745,37439.779319116264,curtailment
746,44256.11077753042,curtailment
747,50469.757084943434,curtailment
748,55831.52888164749,curtailment
749,59901.479681935874,curtailment
750,62000.13380340222,curtailment
751,63008.304959758694,curtailment
752,64355.12791627766,curtailment
753,66961.35902721444,curtailment
754,70689.8844026636,curtailment
755,74659.51571143579,curtailment
756,77628.95131632894,curtailment
757,78668.32293369505,curtailment
758,79127.07555639386,curtailment
759,79648.60685141574,curtailment
760,79328.41548427967,curtailment
761,79249.24626534162,curtailment
762,80480.08656369548,curtailment
763,81087.02629452173,curtailment
764,81853.58720274147,curtailment
765,82410.80545807962,curtailment
766,82758.05403798303,curtailment
767,82405.18946456916,curtailment
768,82868.89159650223,curtailment
769,82006.82038845838,curtailment
770,81074.0668987419,curtailment
771,82257.75460582535,curtailment
772,85960.75293458097,curtailment
773,90152.89934825257,curtailment
774,92708.13905409422,curtailment
775,94373.35982019504,curtailment
776,95744.04719907697,curtailment
777,97150.50262246348,curtailment
778,98488.66739294206,curtailment
779,99501.44850007954,curtailment
780,99763.18647838745,curtailment
781,98800.084293787,curtailment
782,96353.82224212016,curtailment
783,94308.2727955558,curtailment
784,90855.93709288907,curtailment
785,86971.98992573796,curtailment
786,84073.38653349108,curtailment
787,83069.08999842845,curtailment
788,80010.37173188437,curtailment
789,77299.48841535287,curtailment
790,75791.40610987469,curtailment
791,73368.0334940019,curtailment
792,71264.23172412797,curtailment
793,68752.38247289797,curtailment
794,66676.15081086085,curtailment
795,64571.763262228385,curtailment
796,61566.35984599526,curtailment
797,58453.84803428025,curtailment
798,54651.55386001376,curtailment
799,50396.27702878124,curtailment
800,47423.74637386642,curtailment
801,44693.23674346508,curtailment
802,41720.97612882474,curtailment
803,39130.61762475444,curtailment
804,38473.80297654964,curtailment
805,36936.59528375343,curtailment
806,34472.32862503592,curtailment
807,32862.314810763324,curtailment
808,30476.850116913763,curtailment
809,26590.42710406507,curtailment
810,23014.2482735189,curtailment
811,21547.819542656296,curtailment
812,20830.11254974513,curtailment
813,20311.191945324423,curtailment
814,19251.14064686798,curtailment
815,18224.27762912444,curtailment
816,18016.748115851344,curtailment
817,18062.70932535829,curtailment
818,18015.6420008239,curtailment
819,18142.492019068755,curtailment
820,18461.866176934956,curtailment
821,18533.124433020937,curtailment
822,17862.758651198437,curtailment
823,16533.86231690826,curtailment
824,15500.51923374902,curtailment
825,14118.53050578524,curtailment
826,13371.279479752588,curtailment
827,14324.371894819373,curtailment
828,15437.670774049811,curtailment
829,15891.968485091495,curtailment
830,15721.46442294145,curtailment
831,15385.111188967741,curtailment
832,14838.598796904982,curtailment
833,13742.426133059249,curtailment
834,12218.565023193238,curtailment
835,10392.184201902717,curtailment
836,8910.258198872321,curtailment
837,8178.070931150474,curtailment
838,7297.386371836152,curtailment
839,6017.877567786059,curtailment
840,5212.4512616799275,curtailment
841,4475.839904836297,curtailment
842,3806.374485337941,curtailment
843,3633.602079881067,curtailment
844,4204.624869842622,curtailment
845,5047.436048749475,curtailment
846,5213.882409847805,curtailment
847,5124.651086161255,curtailment
848,5355.675180865783,curtailment
849,6141.246152484151,curtailment
850,7858.510450194599,curtailment
851,10251.221468533167,curtailment
852,12227.739570017173,curtailment
853,13648.277610766807,curtailment
854,15287.519801543067,curtailment
855,17125.54079167073,curtailment
856,18888.15079032034,curtailment
857,19463.210003482745,curtailment
858,19099.536676786156,curtailment
859,17342.66948466221,curtailment
860,15027.243387663002,curtailment
861,13499.876866889208,curtailment
862,12929.878840776437,curtailment
863,13397.73184742063,curtailment
864,15109.178851565619,curtailment
865,16868.722269705097,curtailment
866,17887.96585108689,curtailment
867,18172.519259048997,curtailment
868,18017.08995921182,curtailment
869,17253.884559482176,curtailment
870,15276.435679423888,curtailment
871,13101.06070611989,curtailment
872,11291.345977544355,curtailment
873,10802.985958013549,curtailment
874,11724.337288378085,curtailment
875,14224.459356712514,curtailment
876,17471.711349890742,curtailment
877,20854.986671544342,curtailment
