Onshore turbines,Offshore trubines fixed,Utility scale PV,"Biogas, Basic plant, large",battery
4357.93024,2223.3782057411113,0.0,1409.5200000000002,0.0
4570.340160000001,2327.616235020318,0.0,1409.5200000000002,0.0
4736.870560000001,2377.348777052708,0.0,1409.5200000000002,0.0
4606.14288,2323.110639879033,0.0,1409.5200000000002,0.0
4376.56104,2195.9795731183985,0.0,1409.5200000000002,0.0
4159.2368,2057.5655190069683,0.0,1409.5200000000002,0.0
3937.2200800000005,1947.809492786657,0.0,1409.5200000000002,1296.6750050369699
3629.58064,1862.6931007185065,0.0,1409.5200000000002,2444.3949121564497
3358.81552,1805.9239590452844,2530.463455781206,1409.5200000000002,292.18724329065594
3030.7442400000004,1746.7201674674038,7556.726484387712,1409.5200000000002,0.0
2746.6236,1704.7163496306825,10052.52605721301,1409.5200000000002,0.0
2505.11128,1625.3581624373733,9879.206642433475,1409.5200000000002,0.0
2275.1872799999996,1500.8476692363236,7418.070952564084,1409.5200000000002,0.0
2152.30296,1407.4922807516848,3778.363242193856,1409.5200000000002,0.0
2171.9188799999997,1380.5414934291603,485.2943613826971,1409.5200000000002,2984.349537256145
2211.85008,1438.556459301087,0.0,1409.5200000000002,3685.3407179701285
2324.48464,1556.299060041417,0.0,1409.5200000000002,3779.951233859735
2423.4252800000004,1644.7919342515909,0.0,1409.5200000000002,3435.041692407964
2545.8772,1698.2619488800951,0.0,1409.5200000000002,3110.5839028127148
2734.8698400000003,1763.5225088662746,0.0,1409.5200000000002,2617.0781088667227
2980.4768000000004,1806.0203136401735,0.0,1409.5200000000002,1832.6377974624422
3231.7764,1836.3625112813938,0.0,1409.5200000000002,1063.8110072066715
3375.2354400000004,1856.613261491712,0.0,1409.5200000000002,513.3144718782344
3424.42,1875.28433918864,0.0,1409.5200000000002,28.282711086733176
3596.93256,1912.979342394765,0.0,1409.5200000000002,0.0
3803.43552,1954.0440422080617,0.0,1409.5200000000002,0.0
3770.4151999999995,1928.0255873741107,0.0,1409.5200000000002,0.0
3846.574,1983.9655366884997,0.0,1409.5200000000002,0.0
3964.8335199999997,2035.3673202943173,0.0,1409.5200000000002,0.0
3948.752,2034.7539079437565,0.0,1409.5200000000002,108.37730043676824
3775.73936,2027.2721772166772,0.0,1409.5200000000002,1319.4964302083406
3820.2577599999995,2073.7205203810213,0.0,1409.5200000000002,1857.8736857518277
3738.28224,2064.969894636742,242.64718069134855,1409.5200000000002,1655.0372692501264
3416.4074399999995,2035.58445740956,970.5887227653942,1409.5200000000002,1066.8823941735004
3284.70592,2089.6108858958733,1802.5219137071606,1409.5200000000002,39.96795689948027
3504.5944799999997,2229.6860389389103,2461.135689869392,1409.5200000000002,0.0
4279.1808,2520.2372128451075,2253.152392133951,1409.5200000000002,0.0
4791.0484,2808.636015096462,1039.916488677208,1409.5200000000002,0.0
4967.8436,2993.9055444633173,69.32776591181387,1409.5200000000002,0.0
5439.54688,3201.362415687061,0.0,1409.5200000000002,0.0
5881.88832,3418.0476143086175,0.0,1409.5200000000002,0.0
6381.53592,3630.9776979434464,0.0,1409.5200000000002,0.0
6789.06728,3747.2614086907392,0.0,1409.5200000000002,0.0
6925.78088,3733.839620754803,0.0,1409.5200000000002,0.0
6912.13208,3684.077222369068,0.0,1409.5200000000002,0.0
6649.484799999999,3588.9806656415776,0.0,1409.5200000000002,0.0
6541.448719999999,3522.035935905296,0.0,1409.5200000000002,0.0
6480.19832,3473.319866993636,0.0,1409.5200000000002,0.0
6323.740959999998,3366.8602536041017,0.0,1409.5200000000002,0.0
6008.288240000001,3205.516520123047,0.0,1409.5200000000002,0.0
5584.3895999999995,3012.7530460663793,0.0,1409.5200000000002,0.0
5305.179520000001,2866.6889799635555,0.0,1409.5200000000002,0.0
5066.652640000001,2742.331839850147,0.0,1409.5200000000002,0.0
4853.2012,2649.3279420708063,0.0,1409.5200000000002,0.0
4633.7864,2585.895405173576,0.0,1409.5200000000002,477.22552302872646
4514.4816,2557.3676595516013,0.0,1409.5200000000002,1239.1709086157375
4369.27416,2502.1863330335914,242.64718069134855,1409.5200000000002,1154.5672768978645
3973.43264,2346.239813973287,1178.5720205008358,1409.5200000000002,569.8248840742779
3544.02936,2121.857104616378,1941.1774455307884,1409.5200000000002,234.2654000588927
3176.80144,1907.8725488656517,2114.496860310323,1409.5200000000002,453.94534497594395
2946.7495999999996,1772.7060517340685,1559.874733015812,1409.5200000000002,1291.5037599116959
2895.76776,1738.8516612537983,693.2776591181387,1409.5200000000002,2140.305964475573
3057.5342400000004,1780.7197683934933,69.32776591181387,1409.5200000000002,2609.0385872984066
3447.7996799999996,1898.594008509939,0.0,1409.5200000000002,2415.655696779644
3720.42976,1986.8860308885135,0.0,1409.5200000000002,2443.95188474879
3830.02248,1997.782242752784,0.0,1409.5200000000002,2357.121794408612
3952.41048,1980.2959194408988,0.0,1409.5200000000002,2106.417349973427
4026.0763999999995,1949.6700864428926,0.0,1409.5200000000002,1811.1705965319331
4176.277120000001,1932.639751073017,0.0,1409.5200000000002,1265.2938189226493
4290.6262400000005,1906.820790963695,0.0,1409.5200000000002,618.8809404220093
4358.84392,1893.3596469256206,0.0,1409.5200000000002,180.15859003318846
4483.536800000001,1926.592482413509,0.0,1409.5200000000002,0.0
4533.289120000001,1957.9307965709052,0.0,1409.5200000000002,0.0
4446.1436,1940.1336957628291,0.0,1409.5200000000002,0.0
4221.34824,1869.184143357291,0.0,1409.5200000000002,61.798087095187896
3996.6356,1797.486825011137,0.0,1409.5200000000002,522.6850035745533
3781.39064,1718.0146408323246,0.0,1409.5200000000002,1154.4396516490892
3536.0356,1612.8524217063664,0.0,1409.5200000000002,2782.8760520180185
3289.92104,1510.1940649405499,0.0,1409.5200000000002,4296.69904057754
3070.70176,1411.3478216542119,0.0,1409.5200000000002,5344.192597897711
2780.72304,1286.0922767264863,1559.874733015812,1409.5200000000002,4134.635334381434
2331.9858400000003,1113.6786216889664,5060.926911562412,1409.5200000000002,988.1997644245101
1913.9753599999997,960.0296847293228,7764.709782123154,1409.5200000000002,0.0
1630.05024,872.10272412575,8319.331909417664,1409.5200000000002,0.0
1516.9005600000003,828.7268711420891,6690.129410490039,1409.5200000000002,0.0
1525.29664,830.6878907141244,3327.732763767066,1409.5200000000002,2784.349634687585
1616.5932000000003,849.6059618796409,519.958244338604,1409.5200000000002,5497.111780311898
1557.8168799999999,817.1711052902691,0.0,1409.5200000000002,6473.667727324426
1353.6940000000002,770.057779710494,0.0,1409.5200000000002,7197.509425143863
1213.7543200000005,785.7690071052701,0.0,1409.5200000000002,7471.08511009803
1248.63208,895.7665983662886,0.0,1409.5200000000002,7241.638500908819
1455.40952,1045.4378547960807,0.0,1409.5200000000002,6697.59464442327
1741.2597599999997,1168.5844554920122,0.0,1409.5200000000002,5849.371530063346
1975.8198400000003,1291.3456378083881,0.0,1409.5200000000002,4925.330285234838
2151.22008,1429.3104895126608,0.0,1409.5200000000002,3854.623797378819
2331.8279199999997,1554.1969013444736,0.0,1409.5200000000002,3042.0658694239487
2478.34384,1653.8126242829524,0.0,1409.5200000000002,2090.558938538218
2543.5046400000006,1768.1475294209436,0.0,1409.5200000000002,1753.3817103512986
3088.6971200000003,1976.5421615611413,0.0,1409.5200000000002,721.1442001063284
3579.41848,2237.2926235072546,0.0,1409.5200000000002,0.0
4079.5360800000003,2482.9615556927947,0.0,1409.5200000000002,0.0
4672.35272,2706.6317838903133,0.0,1409.5200000000002,0.0
5094.450320000001,2803.79250031958,0.0,1409.5200000000002,0.0
5368.7348,2869.5674038474917,0.0,1409.5200000000002,225.2717620147961
5618.42136,2968.595499467845,901.2609568535803,1409.5200000000002,0.0
5836.768320000001,3068.250578508462,2253.152392133951,1409.5200000000002,0.0
6103.1004,3129.3488914168347,2287.8162750898578,1409.5200000000002,0.0
6641.348159999999,3090.0647159485275,1559.874733015812,1409.5200000000002,0.0
7073.319519999999,2981.8680056370526,1282.5636693685565,1409.5200000000002,0.0
7396.53288,3063.5712736749824,866.5970738976735,1409.5200000000002,0.0
7213.845759999999,3351.204667595106,173.31941477953467,1409.5200000000002,0.0
7105.843519999999,3746.8230631393435,0.0,1409.5200000000002,0.0
7409.888400000001,4092.0235776312065,0.0,1409.5200000000002,0.0
7960.021520000001,4198.557831904104,0.0,1409.5200000000002,0.0
8626.38,4251.073800332511,0.0,1409.5200000000002,0.0
9240.2564,4277.204895044995,0.0,1409.5200000000002,0.0
9460.381840000002,4227.086934633049,0.0,1409.5200000000002,0.0
9673.453520000001,4155.491399309664,0.0,1409.5200000000002,0.0
9807.83216,4080.461026244535,0.0,1409.5200000000002,0.0
9905.46432,4033.4169131202434,0.0,1409.5200000000002,0.0
9927.36256,4031.4653932970004,0.0,1409.5200000000002,0.0
9879.024,4031.849454569585,0.0,1409.5200000000002,0.0
9633.477200000001,4003.0692870511416,0.0,1409.5200000000002,0.0
9184.42416,3931.6746035593574,0.0,1409.5200000000002,0.0
8640.171680000001,3814.2495658500693,0.0,1409.5200000000002,0.0
8105.059759999999,3650.1970468563622,0.0,1409.5200000000002,0.0
7623.4263200000005,3473.002303962592,0.0,1409.5200000000002,0.0
7287.5192,3293.1340603373983,0.0,1409.5200000000002,0.0
6805.2616,3088.860962065901,1247.8997864126495,1409.5200000000002,0.0
6053.9346399999995,2809.832983444237,4125.002071752925,1409.5200000000002,0.0
5356.781759999999,2500.461450074383,6447.482229798689,1409.5200000000002,0.0
4700.6392000000005,2206.722431895029,6967.440474137295,1409.5200000000002,0.0
4147.114559999999,1951.124905115018,5788.868453636458,1409.5200000000002,0.0
3613.27728,1737.3737717631777,3327.732763767066,1409.5200000000002,0.0
3308.46912,1551.1257682707605,589.2860102504179,1409.5200000000002,2256.7032882337194
3012.8729599999997,1368.033038484213,0.0,1409.5200000000002,3714.339046498459
2485.8600800000004,1136.0247450613758,0.0,1409.5200000000002,5012.802110939209
1881.3686400000001,877.966783344272,0.0,1409.5200000000002,6206.885742879108
1340.1655200000002,636.0909651406267,0.0,1409.5200000000002,6972.028417156981
944.97072,469.53865510768844,0.0,1409.5200000000002,7472.671037728144
745.1567999999999,396.89950452416883,0.0,1409.5200000000002,7687.341085985902
739.4979999999999,451.27878082275134,0.0,1409.5200000000002,7264.213318543284
890.05592,565.0124875729139,0.0,1409.5200000000002,6520.43345952396
1141.61872,691.2085076310343,0.0,1409.5200000000002,5800.172981812284
1436.30496,789.9529678946019,0.0,1409.5200000000002,5083.168109620042
1718.30496,842.0726610876906,0.0,1409.5200000000002,4523.588845304357
2000.5568799999999,876.0451198743744,0.0,1409.5200000000002,3888.5878118732694
2193.59528,898.8865872909316,0.0,1409.5200000000002,3530.0386415015573
2239.85832,958.1487344685333,0.0,1409.5200000000002,3310.7199568703622
2197.02064,1050.8079270774258,0.0,1409.5200000000002,3600.685681571144
2170.86984,1134.9159886666682,0.0,1409.5200000000002,4308.586037080061
2079.91168,1127.6174673805747,0.0,1409.5200000000002,4987.766218777467
1879.8608800000002,1034.331291351419,1386.5553182362773,1409.5200000000002,3759.209181587912
1540.53592,885.6615798656836,3882.354891061577,1409.5200000000002,1648.6103783426506
1144.0815200000002,715.3568690599581,5719.540687724644,1409.5200000000002,0.0
864.9729600000001,584.1300534630593,6031.515634327806,1409.5200000000002,0.0
723.42776,505.80733888806316,5268.910209297854,1409.5200000000002,541.1156800243753
653.2172800000001,456.2865055430351,3154.4133489875308,1409.5200000000002,2727.866493739344
601.2991999999999,422.286904616946,589.2860102504179,1409.5200000000002,5444.282491807855
552.94184,400.4347681817133,0.0,1409.5200000000002,6506.813982569889
517.7971200000001,380.77164528952056,0.0,1409.5200000000002,6951.105993396194
477.80951999999996,344.5341749694619,0.0,1409.5200000000002,7189.211215675892
437.49104,303.40569112856247,0.0,1409.5200000000002,7241.466560734042
404.80912,267.8386316518155,0.0,1409.5200000000002,7214.166442897179
376.6392000000001,237.14358619832564,0.0,1409.5200000000002,7154.096591834504
