Onshore turbines,Offshore trubines fixed,Utility scale PV,"Biogas, Basic plant, large",CCS
0.0,85069.43187813401,0.0,0.0,0.0
0.0,83628.58346191852,0.0,0.0,0.0
0.0,82118.60949900803,0.0,0.0,0.0
0.0,81171.85443137384,0.0,0.0,0.0
0.0,81132.58041472138,0.0,0.0,0.0
0.0,81140.30958489706,0.0,0.0,0.0
0.0,80561.11342971695,0.0,0.0,0.0
0.0,79124.30712369937,0.0,0.0,0.0
0.0,76761.14748192475,0.0,0.0,0.0
0.0,73459.61742002104,0.0,0.0,0.0
0.0,69893.6022557094,0.0,0.0,0.0
0.0,66273.78332727723,0.0,0.0,0.0
0.0,62162.82069824602,118.99753640078406,0.0,0.0
0.0,56547.428352048715,393.3529675470362,0.0,0.0
0.0,50321.376938860696,614.8206047373843,0.0,0.0
0.0,44409.927332223335,664.4029115710445,0.0,0.0
0.0,39266.06898985422,552.0163494147483,0.0,0.0
0.0,34964.36245797121,317.3267637354242,0.0,0.0
0.0,31216.151907645242,56.19328107814804,0.0,0.0
0.0,27531.440723603697,0.0,0.0,0.0
0.0,22862.311837043544,0.0,0.0,0.0
0.0,17668.93764475029,0.0,0.0,0.0
0.0,12801.226438941096,0.0,0.0,0.0
0.0,9449.388492006878,0.0,0.0,847.3119208289517
0.0,7987.537489695597,0.0,0.0,2251.3799008144733
0.0,9081.911514218958,0.0,0.0,782.5985851470741
0.0,11370.78372532964,0.0,0.0,0.0
0.0,13910.457949597245,0.0,0.0,0.0
0.0,15897.674031412673,0.0,0.0,0.0
0.0,16946.57431620977,0.0,0.0,0.0
0.0,17630.26448231642,0.0,0.0,0.0
0.0,18089.94527110486,0.0,0.0,0.0
0.0,19282.58627192558,0.0,0.0,0.0
0.0,21147.337339367095,0.0,0.0,0.0
0.0,22839.99829628898,0.0,0.0,0.0
0.0,22693.11675139538,0.0,0.0,0.0
0.0,20815.74774536315,132.21948488976008,0.0,0.0
0.0,17823.794163818107,370.21455769132825,0.0,0.0
0.0,14396.439766227359,545.4053751702603,0.0,0.0
0.0,11755.521606124761,575.1547592704563,0.0,0.0
0.0,10179.289809835347,502.4340425810883,0.0,0.0
0.0,9182.6911536123,300.7993281242042,0.0,0.0
0.0,8498.45475639783,56.19328107814804,0.0,0.0
0.0,8058.684091489542,0.0,0.0,811.0264992620596
0.0,7662.966965427176,0.0,0.0,1596.2277932585368
0.0,6933.6938133727,0.0,0.0,2487.381097272654
0.0,6105.989815688522,0.0,0.0,3285.893476174083
0.0,5390.208571997275,0.0,0.0,3906.1256225517172
0.0,4772.475812160255,0.0,382.9235658725738,4022.0
0.0,4367.718561263418,0.0,309.1342092516661,4022.0
0.0,4311.374822491477,0.0,0.0,3773.1479931349677
0.0,4675.519790521673,0.0,0.0,2993.999228533983
0.0,5309.639483593383,0.0,0.0,1932.6949059408544
0.0,5848.960767902414,0.0,0.0,1254.9588463133268
0.0,6021.897536639174,0.0,0.0,1091.1088606627509
0.0,6036.236103219527,0.0,0.0,1158.5233821917718
0.0,6014.059120241913,0.0,0.0,1443.4128627590155
0.0,5751.349268934445,0.0,0.0,2847.330354900425
0.0,5376.361613413962,0.0,302.6310506339896,4022.0
0.0,4904.035574479421,0.0,1409.5200000000002,4022.0
0.0,4660.7442390550605,152.0524076232241,1409.5200000000002,4022.0
0.0,4327.434017061472,429.7133258917203,1312.8635905646652,4022.0
0.0,3890.1487036937774,604.9041433706524,1046.0007308858776,4022.0
0.0,3753.672861404202,637.9590145930924,886.8355272517306,4022.0
0.0,4149.116871912658,505.73952970333227,535.0321977145326,4022.0
0.0,5169.585827547568,267.7444569017642,0.0,3659.008965755556
0.0,6573.427086208046,42.97133258917202,0.0,2420.191238823111
0.0,8291.979397640742,0.0,0.0,999.6622571020672
0.0,10282.363619881546,0.0,0.0,0.0
0.0,12243.797593407733,0.0,0.0,0.0
0.0,13986.192892696903,0.0,0.0,0.0
0.0,15614.835563781933,0.0,0.0,0.0
0.0,17025.06772640394,0.0,0.0,0.0
0.0,17452.875930050905,0.0,0.0,0.0
0.0,17074.72013410505,0.0,0.0,0.0
0.0,16409.028283001167,0.0,0.0,0.0
0.0,15475.492008176285,0.0,0.0,0.0
0.0,14838.641159565463,0.0,0.0,0.0
0.0,14980.142328047006,0.0,0.0,0.0
0.0,16125.862076705731,0.0,0.0,0.0
0.0,17756.2253757804,0.0,0.0,0.0
0.0,20032.01535185872,0.0,0.0,0.0
0.0,22780.814155756358,0.0,0.0,0.0
0.0,25285.065292681644,0.0,0.0,0.0
0.0,27197.174597171415,105.77558791180806,0.0,0.0
0.0,28343.030903607098,290.88286675747213,0.0,0.0
0.0,29286.94556948061,419.7968645249883,0.0,0.0
0.0,30276.825583077443,475.9901456031362,0.0,0.0
0.0,30869.67751595312,403.26942891376825,0.0,0.0
0.0,31327.528430530358,218.16215006810415,0.0,0.0
0.0,31831.399315941668,36.360358344684016,0.0,0.0
0.0,32361.898967859357,0.0,0.0,0.0
0.0,32075.100324696898,0.0,0.0,0.0
0.0,31065.55599121845,0.0,0.0,0.0
0.0,29493.694043791616,0.0,0.0,0.0
0.0,27856.229740315248,0.0,0.0,0.0
0.0,26371.573589252355,0.0,0.0,0.0
0.0,25367.846617072217,0.0,0.0,0.0
0.0,24349.316781870075,0.0,0.0,0.0
0.0,22617.60030073885,0.0,0.0,0.0
0.0,20743.12631957808,0.0,0.0,0.0
0.0,19352.17611506223,0.0,0.0,0.0
0.0,18949.82228103981,0.0,0.0,0.0
0.0,19388.254679733935,0.0,0.0,0.0
0.0,20044.79715978178,0.0,0.0,0.0
0.0,20699.59170028459,0.0,0.0,0.0
0.0,21443.968142470374,0.0,0.0,0.0
0.0,22069.21158003996,0.0,0.0,0.0
0.0,22340.44263662946,132.21948488976008,0.0,0.0
0.0,21769.98617917452,327.2432251021562,0.0,0.0
0.0,20202.46676905489,466.07368423640423,0.0,0.0
0.0,18048.049345134837,469.37917135864825,0.0,0.0
0.0,15969.284929648271,380.13101905806025,0.0,0.0
0.0,14513.988700630865,204.94020157912811,0.0,0.0
0.0,13656.16005735025,36.360358344684016,0.0,0.0
0.0,13516.92574796617,0.0,0.0,0.0
0.0,13512.39202977124,0.0,0.0,0.0
0.0,13371.901388839164,0.0,0.0,0.0
0.0,13236.162958545154,0.0,0.0,0.0
0.0,13077.537444833357,0.0,0.0,0.0
0.0,12581.614222040866,0.0,0.0,0.0
0.0,11520.205244874618,0.0,0.0,0.0
0.0,10447.07961044557,0.0,0.0,0.0
0.0,10012.7985681709,0.0,0.0,0.0
0.0,10222.414755797974,0.0,0.0,0.0
0.0,11121.702340162356,0.0,0.0,0.0
0.0,13007.264812811929,0.0,0.0,0.0
0.0,15558.846875230074,0.0,0.0,0.0
0.0,18234.041037348565,0.0,0.0,0.0
