hour,Technology,value
210,demand,8259.651211521119
211,demand,8105.166753677742
212,demand,7854.987946058842
213,demand,7444.687508881173
214,demand,6947.119651965911
215,demand,6561.475574736731
216,demand,6165.804112660593
217,demand,6098.03311743621
218,demand,5988.171991404
219,demand,5933.619141930136
220,demand,6029.317932677478
221,demand,6332.879832696368
222,demand,7447.1926810554105
223,demand,8451.22228072932
224,demand,9021.858898659979
225,demand,8959.770686099917
226,demand,8610.700004262637
227,demand,8276.027895078027
228,demand,8009.076680147122
229,demand,7890.577374789897
230,demand,7817.780389024127
231,demand,7744.924647969889
232,demand,7952.338606771056
233,demand,8331.779046982105
234,demand,8245.510854527147
235,demand,8034.787892985866
236,demand,7726.920002225802
237,demand,7259.512904428089
238,demand,6699.203178640759
239,demand,6208.608985614212
240,demand,5775.732197570827
241,demand,5285.991340395796
242,demand,5146.971979486771
243,demand,5098.973736508489
244,demand,5151.349008964175
245,demand,5423.673865464034
246,demand,6446.991341382889
247,demand,7381.177063796117
248,demand,7830.10690097471
249,demand,7764.740176227968
250,demand,7557.782106257015
251,demand,7296.975973818458
252,demand,7079.460427182867
253,demand,6985.726979318022
254,demand,6893.844154115525
255,demand,6859.374196628171
256,demand,7134.114955784278
257,demand,7658.459734049005
258,demand,7585.126711638706
259,demand,7430.239847583705
260,demand,7203.311801118643
261,demand,6827.932896157867
262,demand,6357.5723622227415
263,demand,6002.92421565416
264,demand,5611.1567013829645
265,demand,5511.835074754207
266,demand,5388.069513219798
267,demand,5329.047917973556
268,demand,5382.184779140247
269,demand,5655.164890862046
270,demand,6647.953272624613
271,demand,7565.207078044496
272,demand,8027.340029602165
273,demand,7909.945976561936
274,demand,7696.0632939117095
275,demand,7433.679577588471
276,demand,7135.4784757148445
277,demand,6990.936001489211
278,demand,6863.991960104523
279,demand,6825.71932405625
280,demand,6968.968280739977
281,demand,7407.215688852411
282,demand,7341.170762179967
283,demand,7135.327708909386
284,demand,6870.711878207298
