hour,value,Technology
214,111679.63994663757,curtailment
215,97329.77452977575,curtailment
216,79268.045594071,curtailment
217,66338.64383790613,curtailment
218,62050.12479970781,curtailment
219,61238.29838106057,curtailment
220,76448.54809298115,curtailment
221,90614.22241850142,curtailment
222,101108.91313683873,curtailment
223,114565.89565512614,curtailment
224,125169.01224218382,curtailment
225,135277.5715174483,curtailment
226,144344.5608420099,curtailment
227,152252.3905566895,curtailment
228,155946.29483621859,curtailment
229,157863.85420012075,curtailment
230,158575.95178829262,curtailment
231,158660.7010920633,curtailment
232,158161.5322320456,curtailment
233,155309.57672175378,curtailment
234,153759.4014616561,curtailment
235,154511.89960913436,curtailment
236,155481.319069129,curtailment
237,156509.5209433877,curtailment
238,157297.26712666985,curtailment
239,157962.9336873321,curtailment
240,158832.2463773863,curtailment
241,159364.82822436863,curtailment
242,159747.72322616365,curtailment
243,159628.55149540532,curtailment
244,159282.3635003794,curtailment
245,158457.13194093926,curtailment
246,156886.48217521887,curtailment
247,155259.5739552854,curtailment
248,153965.7303881554,curtailment
249,153649.4607034767,curtailment
250,153926.77286164492,curtailment
251,154117.10841878646,curtailment
252,154248.46681800327,curtailment
253,154430.90168880468,curtailment
254,154308.65320694676,curtailment
255,153787.14226981622,curtailment
256,152361.6427299368,curtailment
257,149400.77582810982,curtailment
258,145744.89540809664,curtailment
259,138960.5362338367,curtailment
260,130027.66335800866,curtailment
261,120924.1599418404,curtailment
262,113853.19268166051,curtailment
263,113053.64018673141,curtailment
264,114527.078600329,curtailment
265,116024.19628127405,curtailment
266,117948.79709838782,curtailment
267,121947.07672337005,curtailment
268,126156.41282007296,curtailment
269,129123.91581114523,curtailment
270,128959.7624664685,curtailment
271,132409.11278726088,curtailment
272,139617.2284011693,curtailment
273,146211.13190602674,curtailment
274,149563.17081337946,curtailment
275,151005.02971191664,curtailment
276,152044.8886739453,curtailment
277,153113.13371698075,curtailment
278,153994.98799616683,curtailment
279,153896.633937236,curtailment
280,153569.75308297828,curtailment
281,153191.8952844692,curtailment
282,152222.56558824892,curtailment
283,150867.29470616867,curtailment
284,148707.9523339091,curtailment
285,146278.8187666762,curtailment
286,142133.38870850136,curtailment
287,135594.83660297992,curtailment
288,125373.46215390034,curtailment
289,112955.66689183287,curtailment
290,101577.616136097,curtailment
291,93357.15298417422,curtailment
292,85645.18114188006,curtailment
293,78115.43507149101,curtailment
294,73634.09271432922,curtailment
295,72461.18475390876,curtailment
296,75309.88063098842,curtailment
297,83014.06868542112,curtailment
298,93564.55293053218,curtailment
299,103288.02577216519,curtailment
300,109785.65861350528,curtailment
301,113551.44255380509,curtailment
302,114641.60054524941,curtailment
303,113409.5171971623,curtailment
304,106612.02225674898,curtailment
305,98324.27731530217,curtailment
306,91513.18360671848,curtailment
307,85960.10074955184,curtailment
308,83212.52252951494,curtailment
309,84773.58449247047,curtailment
310,88928.97719417271,curtailment
311,92841.81419538776,curtailment
312,97614.31103096309,curtailment
313,100266.7218879713,curtailment
314,105325.07713835788,curtailment
315,108883.91451320944,curtailment
316,110943.45225903999,curtailment
317,109454.41744630151,curtailment
318,106178.4816441763,curtailment
319,99136.02017943418,curtailment
320,91770.78768052351,curtailment
321,87707.86493849562,curtailment
322,87567.10135283305,curtailment
323,86837.37650207069,curtailment
324,86675.38925226369,curtailment
325,93523.29193469306,curtailment
326,98846.17378766769,curtailment
327,98633.11497756238,curtailment
328,99541.8189752394,curtailment
329,97751.20785921565,curtailment
330,96834.9637226379,curtailment
331,96960.17029919178,curtailment
332,97735.15641007358,curtailment
333,98310.6955597699,curtailment
334,100913.41507074604,curtailment
335,103371.13030089015,curtailment
336,106184.62175009312,curtailment
337,108762.9634174797,curtailment
338,112717.24398578591,curtailment
339,116580.57978772878,curtailment
340,120359.64610362,curtailment
341,124679.56590870532,curtailment
342,129575.16962228222,curtailment
343,135177.0644267332,curtailment
344,141193.17249898415,curtailment
345,145453.47412669996,curtailment
346,146761.28553114197,curtailment
347,147021.22887678514,curtailment
348,146550.54807434088,curtailment
349,145806.74518350375,curtailment
350,143025.91560753467,curtailment
351,140760.17862133915,curtailment
352,137915.23354386014,curtailment
353,135732.57413727883,curtailment
354,135471.17273034155,curtailment
355,136276.4742947978,curtailment
356,138438.76294388517,curtailment
357,140170.32117778048,curtailment
358,142638.93663684116,curtailment
359,145911.31858319603,curtailment
360,149473.14935192233,curtailment
361,151910.4588180993,curtailment
362,152347.23613339235,curtailment
363,151301.35908324533,curtailment
364,150681.52049818626,curtailment
365,150447.7615608089,curtailment
366,148900.83293053278,curtailment
367,149420.84832644043,curtailment
368,148510.810600602,curtailment
369,147351.5291774502,curtailment
370,145768.7437930184,curtailment
371,143876.87893582086,curtailment
372,140717.1607502493,curtailment
373,135558.9641949638,curtailment
374,129198.81609505977,curtailment
375,121256.26582211615,curtailment
376,112702.11730443887,curtailment
377,103903.15618708463,curtailment
378,97590.72193915265,curtailment
379,91468.46457415988,curtailment
380,86859.9687965824,curtailment
381,83359.80053678434,curtailment
382,81391.0327097859,curtailment
383,79579.43421802597,curtailment
384,79607.04721531502,curtailment
385,80012.76604621275,curtailment
386,80479.28649922961,curtailment
387,79723.4796534629,curtailment
388,80493.25410275965,curtailment
389,82588.54489452478,curtailment
390,83417.53010542344,curtailment
391,84510.9523529748,curtailment
392,86814.99657210875,curtailment
393,87816.83526315835,curtailment
394,89718.23911735488,curtailment
395,92212.56084176587,curtailment
396,95685.32645118181,curtailment
397,97427.13947137607,curtailment
398,96834.19549351427,curtailment
399,94110.83005809723,curtailment
400,89019.3475657803,curtailment
401,83696.33147562922,curtailment
402,79138.63011570106,curtailment
403,75351.11602648979,curtailment
404,72567.84460100434,curtailment
405,68669.18233894945,curtailment
406,64732.82108937037,curtailment
407,60838.55120012711,curtailment
408,57382.73806934523,curtailment
409,53421.59399783426,curtailment
410,50346.79282148313,curtailment
411,47895.43382433368,curtailment
412,45363.51214043562,curtailment
413,41531.96385347831,curtailment
414,37551.08899179263,curtailment
415,35310.36377582343,curtailment
416,34240.37383897735,curtailment
417,34476.786587524526,curtailment
418,33638.086376954176,curtailment
419,32152.676816070598,curtailment
420,29541.146473992827,curtailment
421,25327.963282643985,curtailment
422,21383.59003730858,curtailment
423,19005.27802362258,curtailment
424,17812.447135293696,curtailment
425,16813.670494283564,curtailment
426,16398.412227785364,curtailment
427,15540.71320889384,curtailment
428,14121.91421157679,curtailment
429,12211.705336090332,curtailment
430,10489.8521027673,curtailment
431,9104.251019168607,curtailment
432,8140.211669654413,curtailment
433,7280.572088174659,curtailment
434,6935.2410215588125,curtailment
435,6744.7745953672365,curtailment
436,6625.005484130465,curtailment
437,6287.29215614472,curtailment
438,5554.481318678272,curtailment
439,5908.741594696126,curtailment
440,7525.761905466192,curtailment
441,9593.873331716859,curtailment
442,10972.21546289622,curtailment
443,11338.31361134318,curtailment
444,11164.58498954173,curtailment
445,10883.558891025463,curtailment
446,11130.449853302825,curtailment
447,13083.544118649574,curtailment
448,16167.276705936723,curtailment
449,19769.50606725004,curtailment
450,24070.1969833623,curtailment
451,27878.964554411,curtailment
452,30455.504409324625,curtailment
453,31789.242453568964,curtailment
454,32607.91403860823,curtailment
455,32513.015193419007,curtailment
456,30927.5430919163,curtailment
457,28956.679407466763,curtailment
458,28105.03598427843,curtailment
459,28352.614887018,curtailment
460,28379.42742927913,curtailment
461,28678.018452641147,curtailment
462,28726.948259363566,curtailment
463,28395.28007809579,curtailment
464,28263.240849787016,curtailment
465,27963.049341459402,curtailment
