Onshore turbines,Offshore trubines fixed,Utility scale PV,"Biogas, Basic plant, large",battery
7887.923520000002,2882.117241492354,0.0,0.0,0.0
8189.298800000002,2973.587451999918,0.0,0.0,0.0
8438.458960000002,3095.4137193608144,0.0,0.0,0.0
8723.335360000001,3248.2848175968925,0.0,0.0,7562.115782666939
9182.329840000004,3391.0875702424687,0.0,0.0,7562.115782666939
9579.186560000002,3483.4496155575835,0.0,0.0,7562.115782666939
10553.936480000002,3642.566618664388,0.0,0.0,7562.11578266694
11394.755200000001,3774.5908231724898,0.0,0.0,7562.115782666938
11511.766400000002,3785.842839674614,0.0,0.0,0.0
11284.09088,3736.659272484771,0.0,0.0,0.0
11232.123920000002,3732.737852387042,0.0,0.0,0.0
11353.101920000003,3751.0214863477804,0.0,0.0,0.0
11607.420800000002,3768.167367665019,0.0,0.0,0.0
11777.244960000002,3808.602994574394,0.0,0.0,0.0
11879.964400000003,3892.874241046184,0.0,0.0,0.0
12180.380880000002,3960.4679725355923,0.0,0.0,0.0
12758.153760000003,4065.299378661078,0.0,0.0,0.0
13350.395120000001,4224.803115626077,0.0,0.0,0.0
13953.615680000003,4356.684463300016,0.0,0.0,0.0
14716.448240000003,4459.507710499575,0.0,0.0,0.0
15338.638000000003,4556.021787658995,0.0,0.0,0.0
15796.66992,4639.948136916881,0.0,0.0,0.0
16128.580160000003,4701.265351356815,0.0,0.0,0.0
16434.478720000003,4762.295831722467,0.0,0.0,0.0
16638.492560000006,4810.47225823147,0.0,0.0,0.0
16814.332720000006,4835.857917661945,0.0,0.0,5062.82452443378
17055.63072000001,4857.8609313406705,0.0,0.0,7562.11578266694
17208.610080000002,4894.324117854401,0.0,0.0,7562.11578266694
17294.104960000004,4915.513867984365,0.0,0.0,7562.115782666939
17429.683040000004,4925.200581746464,0.0,0.0,7562.1157826669405
17529.977280000003,4937.162800795561,0.0,0.0,7562.11578266694
17529.458400000003,4949.406651889149,0.0,0.0,7562.115782666939
17453.183040000004,4954.387253371589,0.0,0.0,0.0
17312.547760000005,4963.269887238552,0.0,0.0,0.0
17300.854160000003,4969.960689107095,0.0,0.0,0.0
17324.256400000006,4968.068856460415,0.0,0.0,0.0
17344.056560000005,4971.85558297165,0.0,0.0,0.0
17258.283440000003,4964.4984560123385,0.0,0.0,0.0
17116.595360000003,4947.718900434128,0.0,0.0,0.0
16932.79904,4921.0567131498265,0.0,0.0,7562.11578266694
16816.656400000003,4897.432274403369,0.0,0.0,7562.115782666939
16757.026560000002,4891.478205636715,0.0,0.0,7562.115782666939
16636.725360000004,4892.706774410502,0.0,0.0,7562.1157826669405
16517.458160000006,4892.8853454532045,0.0,0.0,7562.115782666941
16468.615760000004,4886.647603830144,0.0,0.0,7562.1157826669405
16504.155280000006,4893.802690409712,0.0,0.0,7562.115782666941
16584.60048,4904.075117191873,0.0,0.0,7562.1157826669405
16770.423440000006,4901.427163730096,0.0,0.0,7562.1157826669405
17034.905600000006,4915.899581436601,0.0,0.0,7562.115782666939
17044.023600000004,4901.880223975579,0.0,0.0,7562.115782666941
16684.232960000005,4847.478300715014,0.0,0.0,7562.11578266694
16043.788400000003,4757.6784947611795,0.0,0.0,7562.1157826669405
15303.038320000001,4660.358296894707,0.0,0.0,3304.9286646794203
14569.545040000003,4558.222803311039,0.0,0.0,0.0
13793.2216,4441.765912102693,0.0,0.0,0.0
12950.21456,4332.780433320986,0.0,0.0,0.0
12386.902640000002,4246.144906243826,0.0,0.0,0.0
12062.215360000004,4177.332810040212,0.0,0.0,0.0
11792.461680000002,4098.839102104292,0.0,0.0,0.0
11569.034960000003,4047.292274715038,0.0,0.0,0.0
11157.984240000002,3976.1281427775525,0.0,0.0,0.0
10716.680560000003,3914.3129702299716,0.0,0.0,0.0
10435.237040000004,3835.009059963164,0.0,0.0,0.0
9922.068480000002,3740.686814802164,0.0,0.0,7562.11578266694
9562.665120000001,3650.36558140364,0.0,0.0,0.0
9520.850160000002,3559.5433286795937,0.0,0.0,0.0
9588.639200000001,3489.531235069024,0.0,0.0,0.0
9820.845519999999,3508.0209910333383,0.0,0.0,0.0
9898.278960000001,3536.101542599671,0.0,0.0,0.0
9992.372960000002,3541.8484689567917,0.0,0.0,3317.184491645999
9983.191040000002,3570.6361618522233,0.0,0.0,7562.115782666939
9836.581120000004,3575.131050098515,0.0,0.0,7562.115782666941
9799.406,3594.491212345255,0.0,0.0,7562.11578266694
9935.224720000002,3633.170720600403,0.0,0.0,0.0
10078.413040000001,3657.731892016575,0.0,0.0,0.0
10018.294400000002,3622.1329893495213,0.0,0.0,0.0
9905.08832,3588.2279605732374,0.0,0.0,0.0
9983.375280000002,3589.199387045535,0.0,0.0,0.0
10123.303679999999,3592.1330541756342,0.0,0.0,0.0
10181.339280000004,3554.399462243825,0.0,0.0,7562.115782666939
9902.57664,3495.199590167356,0.0,0.0,0.0
9259.462480000002,3404.782438608752,0.0,0.0,0.0
8806.886320000001,3323.649960864679,0.0,0.0,0.0
8410.717680000002,3262.2786649089567,0.0,0.0,0.0
8263.83328,3222.8838520770432,0.0,0.0,0.0
8239.415840000001,3175.2676284391437,0.0,0.0,0.0
8188.411440000002,3098.364733392205,0.0,0.0,0.0
8093.125520000003,2987.3190549806995,0.0,0.0,0.0
7750.029280000002,2883.417238683222,0.0,0.0,0.0
7394.761920000001,2837.7265210886258,0.0,0.0,0.0
7032.4558400000005,2873.4244031336343,0.0,0.0,0.0
6713.058880000001,2934.871209130272,0.0,0.0,0.0
6403.238640000001,2959.9364610898415,0.0,0.0,0.0
6222.570640000001,2962.491557609412,0.0,0.0,0.0
6284.580560000002,2890.936610189902,0.0,0.0,0.0
6446.790720000003,2697.537028102244,0.0,0.0,0.0
6473.005440000001,2497.626235594703,0.0,0.0,0.0
6278.440480000002,2290.5256627050126,0.0,0.0,0.0
6111.504000000002,2158.4310501857885,0.0,0.0,0.0
5679.457440000001,2051.232302237058,0.0,0.0,0.0
5145.826960000001,1897.7122258115037,0.0,0.0,0.0
4612.90336,1729.1758553036739,0.0,0.0,0.0
3862.1892800000005,1517.2303949239963,0.0,0.0,1858.5926654419477
3199.692320000001,1306.8920739286339,0.0,0.0,3227.4569125757225
2746.5446400000005,1132.8536744936748,0.0,0.0,3793.170436153724
2359.7609600000005,1024.7212550931038,0.0,0.0,4112.173392098637
1902.5261600000006,916.5480194542007,0.0,0.0,4437.016273723354
1573.1464000000003,824.1849537331278,0.0,0.0,4564.494827603356
1315.2968800000003,738.2075884990679,0.0,0.0,4736.128507193943
1127.5300000000004,658.2730673500338,0.0,0.0,4900.995133599494
993.8996000000002,588.1619943615102,0.0,0.0,5101.663284861994
928.8064800000002,545.0314753162772,0.0,0.0,5445.088238580164
925.5352800000002,526.2580464955571,0.0,0.0,5885.44807885819
956.3334400000003,516.2448028268035,0.0,0.0,5854.946600641949
1025.6678400000003,510.6825699481349,0.0,0.0,5610.849126525962
1163.2951200000002,520.6958136168884,0.0,0.0,5229.815599651021
1361.2516000000003,550.8304423772703,0.0,0.0,4649.388360435162
1569.8451200000004,603.5742059556051,0.0,0.0,3953.2542988877467
1751.2952000000002,677.170985697666,0.0,0.0,3363.677178280545
1917.6526400000002,761.9534555545619,0.0,0.0,2688.3637958465206
2048.2148800000004,842.0818538356722,0.0,0.0,2375.538025715015
2215.4521600000007,915.8878167991836,0.0,0.0,1955.4558845082402
2450.6702400000004,1015.2876020086622,0.0,0.0,1511.1256053032619
2714.3176800000006,1144.264874325293,0.0,0.0,1023.5993289952727
3095.8336000000004,1321.9695923684078,0.0,0.0,392.09231988706813
3651.6706400000003,1550.7231796931287,0.0,0.0,222.46041306792463
4187.624800000001,1791.2226600037882,0.0,0.0,211.353831878716
4800.929680000001,1994.778342594361,0.0,0.0,0.0
5411.929680000002,2198.364637363682,0.0,0.0,0.0
5726.363440000002,2326.969461505535,0.0,0.0,0.0
5936.67528,2417.992734203366,0.0,0.0,0.0
6005.460720000001,2461.3365180938827,0.0,0.0,0.0
